0	10550	N02B
1	10602	A01A
2	10513	A02B
3	10594	A06A
4	10482	B05C
5	10553	A12A
6	10641	A12C
7	10511	C01C
8	10626	A07A
9	10456	A10A
10	10582	M01A
11	10521	N01A
12	10498	C07A
13	10514	C03C
14	10614	A12B
15	10496	N07A
16	10552	C02D
17	10501	N02A
18	10484	N06A
19	10634	A02A
20	10564	J01M
21	10627	C02A
22	10444	B01A
23	10483	A11C
24	10524	C03A
25	10574	A03B
26	10489	C10A
27	10506	C01B
28	10499	N05C
29	10591	C09A
30	10526	D01A
31	10539	H03A
32	10522	J01D
33	10454	B02B
34	10559	R06A
35	10469	J01X
36	10523	N03A
37	10530	N05A
38	10537	C08C
39	10558	D11A
40	10609	C01D
41	10565	A04A
42	10461	M03A
43	10528	A07E
44	10618	R03A
45	10477	B03B
46	10519	D07A
47	10495	N07B
48	10497	N05B
49	10446	R05C
50	10633	D06A
51	10598	A03F
52	10492	R01A
53	10587	G04B
54	10527	C01E
55	10525	L01A
56	10545	A07D
57	10541	D04A
58	10547	D06B
59	10543	L01B
60	10570	C01A
61	10628	C05A
62	10567	C03D
63	10588	P01A
64	10563	J02A
65	10474	J05A
66	10445	L01X
67	10459	V03A
68	10505	J01F
69	10534	J01E
70	10487	J04A
71	10510	D10A
72	10507	P01B
73	10589	R05D
74	10531	N04B
75	10561	G04C
76	10548	J01C
77	10502	S01E
78	10452	H05B
79	10577	M04A
80	10512	C09X
81	10603	C09C
82	10642	J01G
83	10560	C08D
84	10566	N06D
85	10493	M03B
86	10504	A10B
87	10467	B02A
88	10465	A16A
89	10485	A11D
90	10516	C02C
91	10460	H04A
92	10533	J01A
93	10447	L04A
94	10462	R03D
95	10569	H03B
96	10542	L01D
97	10494	N06B
98	10616	C03B
99	10546	N01B
100	10536	G03C
101	10549	L01C
102	10472	L02B
103	10572	R01B
104	10586	G03X
105	10595	G02C
106	10518	A03A
107	10575	P03A
108	10629	P02B
109	10622	C03X
110	10620	M01C
111	10450	V04C
